,CPIAUCSL,CPILFESL,FF,TB3MS,GS10,INDPRO,UNRATE,DPCERA3M086SBEA,AHETPI,WTISPLC
1974-01-01,46.8,46.9,9.47,7.77,6.99,45.6298,5.1,32.171,4.27,10.11
1974-02-01,47.3,47.2,8.81,7.12,6.96,45.4951,5.2,31.985,4.29,10.11
1974-03-01,47.8,47.6,9.61,7.96,7.21,45.4952,5.1,32.035,4.32,10.11
1974-04-01,48.1,47.9,10.78,8.33,7.51,45.3625,5.1,32.142,4.33,10.11
1974-05-01,48.6,48.5,11.54,8.23,7.58,45.7241,5.1,32.236,4.4,10.11
1974-06-01,49.0,49.0,11.97,7.9,7.54,45.639,5.4,32.159,4.44,10.11
1974-07-01,49.3,49.5,12.29,7.55,7.81,45.7193,5.5,32.265,4.45,10.11
1974-08-01,49.9,50.2,11.84,8.96,8.04,45.2357,5.5,32.507,4.49,10.11
1974-09-01,50.6,50.7,11.12,8.06,8.04,45.2421,5.9,32.181,4.53,10.11
1974-10-01,51.0,51.2,9.72,7.46,7.9,45.1011,6.0,32.092,4.56,11.16
1974-11-01,51.5,51.6,9.46,7.47,7.68,43.6158,6.6,31.753,4.57,11.16
1974-12-01,51.9,52.0,8.45,7.15,7.43,42.0553,7.2,31.691,4.6,11.16
1975-01-01,52.3,52.3,6.99,6.26,7.5,41.475,8.1,31.95,4.61,11.16
1975-02-01,52.6,52.8,6.15,5.5,7.39,40.529,8.1,32.228,4.64,11.16
1975-03-01,52.8,53.0,5.53,5.49,7.73,40.0796,8.6,32.159,4.67,11.16
1975-04-01,53.0,53.3,5.71,5.61,8.23,40.1527,8.8,32.196,4.67,11.16
1975-05-01,53.1,53.5,5.14,5.23,8.06,40.0399,9.0,32.839,4.69,11.16
1975-06-01,53.5,53.8,5.72,5.34,7.86,40.2987,8.8,32.887,4.72,11.16
1975-07-01,54.0,54.0,6.25,6.13,8.06,40.7094,8.6,33.02,4.74,11.16
1975-08-01,54.2,54.2,6.23,6.44,8.4,41.1098,8.4,33.104,4.78,11.16
1975-09-01,54.6,54.5,6.29,6.42,8.43,41.638,8.4,33.189,4.79,11.16
1975-10-01,54.9,54.8,5.65,5.96,8.14,41.8171,8.4,33.186,4.82,11.16
1975-11-01,55.3,55.2,5.28,5.48,8.05,41.8764,8.3,33.438,4.86,11.16
1975-12-01,55.6,55.5,5.18,5.44,8.0,42.4484,8.2,33.757,4.87,11.16
1976-01-01,55.8,55.9,4.8,4.87,7.74,43.0149,7.9,34.092,4.9,11.16
1976-02-01,55.9,56.2,4.8,4.88,7.79,43.4515,7.7,34.064,4.93,12.03
1976-03-01,56.0,56.5,4.84,5.0,7.73,43.5359,7.6,34.233,4.95,12.1
1976-04-01,56.1,56.7,4.93,4.86,7.56,43.7593,7.7,34.478,4.98,12.17
1976-05-01,56.4,57.0,5.5,5.2,7.9,43.9359,7.4,34.23,5.01,12.17
1976-06-01,56.7,57.2,5.58,5.41,7.86,43.9918,7.6,34.622,5.03,12.17
1976-07-01,57.0,57.6,5.28,5.23,7.83,44.2254,7.8,34.722,5.06,12.17
1976-08-01,57.3,57.9,5.28,5.14,7.77,44.5365,7.8,34.783,5.11,12.17
1976-09-01,57.6,58.2,5.32,5.08,7.59,44.6775,7.6,34.913,5.14,13.9
1976-10-01,57.9,58.5,4.99,4.92,7.41,44.6695,7.7,34.967,5.16,13.9
1976-11-01,58.1,58.7,4.9,4.75,7.29,45.354,7.8,35.169,5.21,13.9
1976-12-01,58.4,58.9,4.66,4.35,6.87,45.8357,7.8,35.636,5.23,13.9
1977-01-01,58.7,59.3,4.72,4.62,7.21,45.5276,7.5,35.533,5.26,13.9
1977-02-01,59.3,59.7,4.74,4.67,7.39,46.2567,7.6,35.731,5.3,13.9
1977-03-01,59.6,60.0,4.74,4.6,7.46,46.8356,7.4,35.755,5.32,13.9
1977-04-01,60.0,60.3,4.82,4.54,7.37,47.2898,7.2,35.805,5.36,13.9
1977-05-01,60.2,60.6,5.45,4.96,7.46,47.6607,7.0,35.904,5.4,13.9
1977-06-01,60.5,61.0,5.43,5.02,7.28,48.0196,7.2,35.891,5.42,13.9
1977-07-01,60.8,61.2,5.45,5.19,7.33,48.0819,6.9,36.182,5.46,13.9
1977-08-01,61.1,61.5,6.02,5.49,7.4,48.1315,7.0,36.161,5.48,14.85
1977-09-01,61.3,61.8,6.35,5.81,7.34,48.3308,6.8,36.274,5.51,14.85
1977-10-01,61.6,62.0,6.49,6.16,7.52,48.4014,6.8,36.577,5.55,14.85
1977-11-01,62.0,62.3,6.55,6.1,7.58,48.4924,6.8,36.8,5.58,14.85
1977-12-01,62.3,62.7,6.65,6.07,7.69,48.564,6.4,36.873,5.61,14.85
1978-01-01,62.7,63.1,6.72,6.44,7.96,47.8693,6.4,36.479,5.66,14.85
1978-02-01,63.0,63.4,6.78,6.45,8.03,48.1283,6.3,37.011,5.69,14.85
1978-03-01,63.4,63.8,6.82,6.29,8.04,49.0553,6.3,37.38,5.73,14.85
1978-04-01,63.9,64.3,7.0,6.29,8.15,50.026,6.1,37.606,5.79,14.85
1978-05-01,64.5,64.7,7.36,6.41,8.35,50.2717,6.0,37.755,5.82,14.85
1978-06-01,65.0,65.2,7.78,6.73,8.46,50.5939,5.9,37.879,5.86,14.85
1978-07-01,65.5,65.6,7.88,7.01,8.64,50.5499,6.2,37.699,5.9,14.85
1978-08-01,65.9,66.1,8.28,7.08,8.41,50.7622,5.9,38.039,5.92,14.85
1978-09-01,66.5,66.7,8.62,7.85,8.42,50.8856,6.0,37.978,5.97,14.85
1978-10-01,67.1,67.2,9.24,7.99,8.64,51.2821,5.8,38.042,6.02,14.85
1978-11-01,67.5,67.6,9.85,8.64,8.81,51.6737,5.9,38.18,6.05,14.85
1978-12-01,67.9,68.0,10.25,9.08,9.01,51.9404,6.0,38.41,6.1,14.85
1979-01-01,68.5,68.5,10.12,9.35,9.1,51.6507,5.9,38.272,6.13,14.85
1979-02-01,69.2,69.2,10.06,9.32,9.1,51.9097,5.9,38.459,6.18,15.85
1979-03-01,69.9,69.8,10.0,9.48,9.12,52.0667,5.8,38.496,6.22,15.85
1979-04-01,70.6,70.3,10.09,9.46,9.18,51.4548,5.8,38.279,6.21,15.85
1979-05-01,71.4,70.8,10.28,9.61,9.25,51.9061,5.6,38.387,6.27,18.1
1979-06-01,72.2,71.3,10.32,9.06,8.91,51.9067,5.7,38.486,6.32,19.1
1979-07-01,73.0,71.9,10.63,9.24,8.95,51.8258,5.7,38.448,6.36,21.75
1979-08-01,73.7,72.7,11.16,9.52,9.03,51.49,6.0,38.864,6.4,26.5
1979-09-01,74.4,73.3,11.61,10.26,9.33,51.4847,5.9,38.96,6.45,28.5
1979-10-01,75.2,74.0,15.61,11.7,10.3,51.8421,6.0,38.827,6.46,29.0
1979-11-01,76.0,74.8,12.46,11.79,10.65,51.7591,5.9,38.926,6.51,31.0
1979-12-01,76.9,75.7,13.49,12.04,10.39,51.7974,6.0,38.809,6.56,32.5
1980-01-01,78.0,76.7,13.54,12.0,10.8,52.0677,6.3,39.122,6.57,32.5
1980-02-01,79.0,77.5,14.62,12.86,12.41,52.0899,6.3,38.795,6.63,37.0
1980-03-01,80.1,78.6,17.78,15.2,12.75,51.8687,6.3,38.479,6.69,38.0
1980-04-01,80.9,79.5,15.12,13.2,11.47,50.8454,6.9,37.989,6.72,39.5
1980-05-01,81.7,80.1,9.46,8.58,10.18,49.5947,7.5,37.804,6.76,39.5
1980-06-01,82.5,81.0,9.08,7.07,9.78,48.9621,7.6,37.981,6.82,39.5
1980-07-01,82.6,80.8,8.98,8.06,10.25,48.609,7.8,38.308,6.86,39.5
1980-08-01,83.2,81.3,10.03,9.13,11.1,48.7646,7.7,38.353,6.91,38.0
1980-09-01,83.9,82.1,10.85,10.27,11.51,49.5764,7.5,38.361,6.95,36.0
1980-10-01,84.7,83.0,13.17,11.62,11.75,50.2058,7.5,38.839,7.02,36.0
1980-11-01,85.6,83.9,17.43,13.73,12.68,51.0418,7.5,38.731,7.09,36.0
1980-12-01,86.4,84.9,18.45,15.49,12.84,51.3906,7.2,39.006,7.13,37.0
1981-01-01,87.2,85.4,18.12,15.02,12.57,51.0656,7.5,39.016,7.18,38.0
1981-02-01,88.0,85.9,14.96,14.79,13.19,50.8554,7.4,38.918,7.23,38.0
1981-03-01,88.6,86.4,13.48,13.36,13.12,51.1107,7.4,39.032,7.29,38.0
1981-04-01,89.1,87.0,16.28,13.69,13.68,50.8864,7.2,38.892,7.33,38.0
1981-05-01,89.7,87.8,18.71,16.3,14.1,51.1788,7.5,38.91,7.37,38.0
1981-06-01,90.5,88.6,19.2,14.73,13.47,51.4496,7.5,39.174,7.41,36.0
1981-07-01,91.5,89.8,18.54,14.95,14.28,51.7764,7.2,39.093,7.45,36.0
1981-08-01,92.2,90.7,17.41,15.51,14.94,51.7129,7.4,39.341,7.52,36.0
1981-09-01,93.1,91.8,15.0,14.7,15.32,51.4605,7.6,39.082,7.56,36.0
1981-10-01,93.4,92.1,14.87,13.54,15.15,51.0625,7.9,38.874,7.59,35.0
1981-11-01,93.8,92.5,12.42,10.86,13.39,50.473,8.3,38.8,7.63,36.0
1981-12-01,94.1,93.0,12.54,10.85,13.72,49.9364,8.5,39.038,7.64,35.0
1982-01-01,94.4,93.3,13.98,12.28,14.59,48.9114,8.6,38.969,7.72,33.85
1982-02-01,94.7,93.8,13.86,13.48,14.43,49.9102,8.9,39.323,7.72,31.56
1982-03-01,94.7,93.9,14.99,12.68,13.86,49.5691,9.0,39.279,7.75,28.48
1982-04-01,95.0,94.7,14.72,12.7,13.87,49.1146,9.3,39.302,7.77,33.45
1982-05-01,95.9,95.4,13.7,12.09,13.62,48.7805,9.4,39.421,7.84,35.93
1982-06-01,97.0,96.1,14.81,12.47,14.3,48.6606,9.6,39.207,7.85,35.07
1982-07-01,97.5,96.7,11.02,11.35,13.95,48.4863,9.8,39.436,7.9,34.16
1982-08-01,97.7,97.1,9.04,8.68,13.06,48.0569,9.8,39.465,7.94,33.95
1982-09-01,97.7,97.2,10.12,7.92,12.34,47.9303,10.1,39.82,7.94,35.63
1982-10-01,98.1,97.5,9.44,7.71,10.91,47.4738,10.4,39.995,7.96,35.68
1982-11-01,98.0,97.3,8.91,8.07,10.55,47.32,10.8,40.317,7.98,34.15
1982-12-01,97.7,97.2,8.79,7.94,10.54,46.9813,10.8,40.488,8.01,31.72
1983-01-01,97.9,97.6,8.44,7.86,10.46,47.8523,10.4,40.53,8.06,31.19
1983-02-01,98.0,98.0,8.47,8.11,10.72,47.5667,10.4,40.519,8.09,28.95
1983-03-01,98.1,98.2,8.88,8.35,10.51,47.9599,10.3,40.946,8.1,28.82
1983-04-01,98.8,98.6,8.58,8.21,10.4,48.5564,10.2,41.197,8.13,30.61
1983-05-01,99.2,98.9,8.72,8.19,10.38,48.8647,10.1,41.441,8.17,30.0
1983-06-01,99.4,99.2,8.9,8.79,10.85,49.1558,10.1,41.841,8.19,31.0
1983-07-01,99.8,99.8,9.46,9.08,11.38,49.8873,9.4,42.125,8.22,31.66
1983-08-01,100.1,100.1,9.44,9.34,11.85,50.4843,9.5,42.236,8.2,31.91
1983-09-01,100.4,100.5,9.04,9.0,11.65,51.216,9.2,42.35,8.27,31.11
1983-10-01,100.8,101.0,9.36,8.64,11.54,51.6139,8.8,42.689,8.31,30.41
1983-11-01,101.1,101.5,9.27,8.76,11.69,51.842,8.5,42.785,8.31,29.84
1983-12-01,101.4,101.8,8.96,9.0,11.83,52.0948,8.3,43.255,8.33,29.24
1984-01-01,102.1,102.5,9.53,8.9,11.67,53.1348,8.0,43.53,8.38,29.69
1984-02-01,102.6,102.8,9.62,9.09,11.84,53.3763,7.8,42.955,8.38,30.145
1984-03-01,102.9,103.2,9.97,9.52,12.32,53.6314,7.8,43.313,8.41,30.761
1984-04-01,103.3,103.7,9.98,9.69,12.63,53.9491,7.7,43.61,8.45,30.618
1984-05-01,103.5,104.1,10.3,9.83,13.41,54.2396,7.4,43.856,8.45,30.52
1984-06-01,103.7,104.5,11.27,9.87,13.56,54.4288,7.2,44.151,8.48,29.967
1984-07-01,104.1,105.0,11.19,10.12,13.36,54.5865,7.5,43.975,8.51,28.752
1984-08-01,104.4,105.4,11.5,10.47,12.72,54.653,7.5,44.149,8.51,29.25
1984-09-01,104.7,105.8,10.73,10.37,12.52,54.4949,7.3,44.468,8.55,29.311
1984-10-01,105.1,106.2,9.73,9.74,12.16,54.4772,7.4,44.321,8.55,28.765
1984-11-01,105.3,106.4,9.0,8.61,11.57,54.6594,7.2,44.96,8.57,28.098
1984-12-01,105.5,106.8,7.95,8.06,11.5,54.6892,7.3,45.029,8.61,25.429
1985-01-01,105.7,107.1,8.45,7.76,11.38,54.6505,7.3,45.433,8.61,25.641
1985-02-01,106.3,107.7,8.4,8.27,11.51,54.8169,7.2,45.602,8.64,27.271
1985-03-01,106.8,108.1,8.38,8.52,11.86,54.8978,7.2,45.558,8.66,28.238
1985-04-01,107.0,108.4,7.69,7.95,11.43,54.7833,7.3,45.681,8.69,28.805
1985-05-01,107.2,108.8,7.6,7.48,10.85,54.8704,7.2,46.206,8.7,27.623
1985-06-01,107.5,109.1,7.46,6.95,10.16,54.8401,7.4,45.96,8.74,27.143
1985-07-01,107.7,109.4,7.64,7.08,10.31,54.5582,7.4,46.297,8.74,27.329
1985-08-01,107.9,109.8,7.78,7.14,10.33,54.7381,7.1,46.763,8.76,27.755
1985-09-01,108.1,110.0,7.96,7.1,10.37,54.9416,7.1,47.405,8.8,28.289
1985-10-01,108.5,110.5,7.89,7.16,10.24,54.7538,7.1,46.668,8.79,29.538
1985-11-01,109.0,111.1,7.71,7.24,9.78,54.939,7.0,46.791,8.81,30.813
1985-12-01,109.5,111.4,8.02,7.1,9.26,55.4945,7.0,47.309,8.87,27.228
1986-01-01,109.9,111.9,7.83,7.07,9.19,55.7802,6.7,47.357,8.85,22.945
1986-02-01,109.7,112.2,7.82,7.06,8.7,55.3994,7.2,47.24,8.88,15.442
1986-03-01,109.1,112.5,7.25,6.56,7.78,55.0001,7.2,47.401,8.89,12.618
1986-04-01,108.7,112.9,6.88,6.06,7.3,55.0641,7.1,47.693,8.88,12.847
1986-05-01,109.0,113.1,6.85,6.15,7.71,55.1705,7.2,47.98,8.9,15.444
1986-06-01,109.4,113.4,6.86,6.21,7.8,54.9588,7.2,47.873,8.92,13.469
1986-07-01,109.5,113.8,6.32,5.83,7.3,55.2944,7.0,48.188,8.91,11.575
1986-08-01,109.6,114.2,5.87,5.53,7.17,55.2029,6.9,48.418,8.94,15.092
1986-09-01,110.0,114.6,5.81,5.21,7.45,55.3511,7.0,49.48,8.94,14.913
1986-10-01,110.2,115.0,5.86,5.18,7.43,55.5857,7.0,48.744,8.96,14.852
1986-11-01,110.4,115.3,6.0,5.35,7.25,55.803,6.9,48.582,9.01,15.207
1986-12-01,110.8,115.6,9.2,5.53,7.11,56.3441,6.6,49.655,9.01,16.076
1987-01-01,111.4,115.9,6.13,5.43,7.08,56.1259,6.6,48.41,9.02,18.656
1987-02-01,111.8,116.2,5.95,5.59,7.25,56.8779,6.6,49.329,9.05,17.726
1987-03-01,112.2,116.6,6.14,5.59,7.25,56.9516,6.6,49.389,9.07,18.305
1987-04-01,112.7,117.3,6.5,5.64,8.02,57.3177,6.3,49.622,9.08,18.643
1987-05-01,113.0,117.7,6.8,5.66,8.61,57.6774,6.3,49.653,9.11,19.415
1987-06-01,113.5,117.9,6.79,5.67,8.4,57.9875,6.2,49.86,9.11,20.034
1987-07-01,113.8,118.3,6.63,5.69,8.45,58.379,6.1,50.102,9.12,21.355
1987-08-01,114.3,118.7,6.76,6.04,8.76,58.8171,6.0,50.486,9.18,20.274
1987-09-01,114.7,119.2,7.56,6.4,9.42,59.0391,5.9,50.249,9.19,19.526
1987-10-01,115.0,119.8,7.03,6.13,9.52,59.834,6.0,50.218,9.22,19.848
1987-11-01,115.4,120.1,6.78,5.69,8.86,60.1367,5.8,50.277,9.27,18.92
1987-12-01,115.6,120.4,6.81,5.77,8.99,60.4739,5.7,50.661,9.28,17.241
1988-01-01,116.0,120.9,6.66,5.81,8.67,60.4594,5.7,51.096,9.29,17.16
1988-02-01,116.2,121.2,6.64,5.66,8.21,60.7643,5.7,51.143,9.29,16.765
1988-03-01,116.5,121.7,6.62,5.7,8.37,60.8948,5.7,51.587,9.31,16.217
1988-04-01,117.2,122.3,6.85,5.91,8.72,61.2475,5.4,51.376,9.36,17.875
1988-05-01,117.5,122.7,7.14,6.26,9.09,61.1353,5.6,51.709,9.41,17.438
1988-06-01,118.0,123.2,7.63,6.46,8.92,61.2995,5.4,51.878,9.41,16.53
1988-07-01,118.5,123.6,7.8,6.73,9.06,61.311,5.4,52.003,9.45,15.498
1988-08-01,119.0,124.0,8.15,7.06,9.26,61.6234,5.6,52.241,9.46,15.524
1988-09-01,119.5,124.7,8.24,7.24,8.98,61.4255,5.4,52.096,9.51,14.467
1988-10-01,119.9,125.2,8.29,7.35,8.8,61.694,5.4,52.522,9.56,13.798
1988-11-01,120.3,125.6,8.44,7.76,8.96,61.8494,5.3,52.654,9.58,13.977
1988-12-01,120.7,126.0,8.86,8.07,9.11,62.1171,5.3,52.941,9.6,16.266
1989-01-01,121.2,126.5,9.06,8.27,9.09,62.3103,5.4,53.036,9.65,17.983
1989-02-01,121.6,126.9,9.39,8.53,9.17,62.0353,5.2,52.924,9.68,17.826
1989-03-01,122.2,127.4,9.88,8.82,9.36,62.195,5.0,52.89,9.7,19.445
1989-04-01,123.1,127.8,9.86,8.65,9.18,62.1753,5.2,53.204,9.75,21.04
1989-05-01,123.7,128.3,9.84,8.43,8.86,61.8321,5.2,53.142,9.74,20.032
1989-06-01,124.1,128.8,9.58,8.15,8.28,61.8246,5.3,53.246,9.77,20.005
1989-07-01,124.5,129.2,9.14,7.88,8.02,61.2285,5.2,53.404,9.83,19.644
1989-08-01,124.5,129.5,8.96,7.9,8.11,61.8334,5.2,53.917,9.83,18.522
1989-09-01,124.8,129.9,9.02,7.75,8.19,61.6221,5.3,53.816,9.87,19.594
1989-10-01,125.4,130.6,8.72,7.64,8.01,61.5537,5.3,53.78,9.92,20.091
1989-11-01,125.9,131.1,8.51,7.69,7.87,61.7575,5.4,53.806,9.93,19.82
1989-12-01,126.3,131.6,8.38,7.63,7.84,62.1111,5.4,54.252,9.98,21.088
1990-01-01,127.5,132.1,8.24,7.64,8.21,61.7781,5.4,54.523,10.02,22.641
1990-02-01,128.0,132.7,8.27,7.74,8.47,62.3426,5.3,54.247,10.07,22.108
1990-03-01,128.6,133.5,8.26,7.9,8.59,62.6446,5.2,54.43,10.11,20.418
1990-04-01,128.9,134.0,8.24,7.77,8.79,62.5104,5.4,54.534,10.12,18.582
1990-05-01,129.1,134.4,8.19,7.74,8.76,62.6898,5.4,54.495,10.16,18.237
1990-06-01,129.9,135.1,8.28,7.73,8.48,62.8923,5.2,54.668,10.2,16.871
1990-07-01,130.5,135.8,8.05,7.62,8.47,62.7933,5.5,54.779,10.22,18.638
1990-08-01,131.6,136.6,8.08,7.45,8.75,63.0241,5.7,54.796,10.24,27.174
1990-09-01,132.5,137.1,8.26,7.36,8.89,63.0328,5.9,54.77,10.28,33.687
1990-10-01,133.4,137.6,8.17,7.17,8.72,62.6466,5.9,54.465,10.3,35.922
